Upper West,JIRAPA,ULO,ULO SENIOR HIGH SCHOOL
Upper West,JIRAPA,UL-GOZU/UL-KONG,DAY CARE CENTRE UL- GOZU
Upper West,JIRAPA,KOGRI,KOGRI PRIM. SCHOOL
Upper West,JIRAPA,UL-TAMPOE,TEMP BOOTH UL-TAMPOE
Upper West,JIRAPA,GYAN,DUORI PRIM. SCHOOL
Upper West,JIRAPA,GUO,GUO PRIM. SCHOOL
Upper West,JIRAPA,NAACHENYIRI,TEMP BOOTH NAACHENYIRI
Upper West,JIRAPA,MWAL,TEMP BOOTH MWAL
Upper West,JIRAPA,GBARI,GBARI PRIM. SCHOOL
Upper West,JIRAPA,TAMPALA,TAMPALA PRIM. SCHOOL
Upper West,JIRAPA,KUNCHENI,KUNCHENI PRIM. SCHOOL
Upper West,JIRAPA,SANWIE,MARKET CENTRE SANWIE
Upper West,JIRAPA,HAN,MARKET CENTRE HAN
Upper West,JIRAPA,UOLLO,R. C. PRIM. SCH. UOLLO
Upper West,JIRAPA,CHAPURI,MARKET CENTRE CHAPURI
Upper West,JIRAPA,PING,PING PRIM. SCHOOL
Upper West,JIRAPA,ZAGUODERIYIRI,ZAGUO PRIM. SCHOOL
Upper West,JIRAPA,TIZZA,TIZZA PRIM. SCHOOL
Upper West,JIRAPA,NEMBARE,NEMBARE PRIM. SCHOOL
Upper West,JIRAPA,BOI,D. A. PRIM. SCHOOL BOI
Upper West,JIRAPA,BACHUGLO,BACHUGLO MARKET CENTRE
Upper West,JIRAPA,SIGRI,SIGRI PRIM. SCHOOL
Upper West,JIRAPA,VINVING,R. C. PRIM. SCH. VINVING
Upper West,JIRAPA,DIE,K. G. DIE
Upper West,JIRAPA,NAYIRI,JIRAPA LOCAL COUNCIL
Upper West,JIRAPA,TAMPOE,D. A. PRIM. SCHOOL TAMPOE
Upper West,JIRAPA,PIIYIRI,CREDIT UNION OFFICE JIRAPA
Upper West,JIRAPA,KONKUO,ST. AUGUSTINE JUNIOR HIGH SCH.
Upper West,JIRAPA,NYENI,D. A. PRIM. SCH. NYENI
Upper West,JIRAPA,NAMBEG,NAMBEG PRIM. SCHOOL N0.1
Upper West,JIRAPA,TUGGOH,TUGGOH PRIM. SCHOOL
Upper West,JIRAPA,YAGA,YAGA PRIM. SCHOOL
Upper West,JIRAPA,KONZOKALA,KONZOKALA PRIM. SCHOOL
Upper West,DAFFIAMA BUSSIE ISSA,KUNZOKALA,MOYIRI PRIMARY SCHOOL
Upper West,DAFFIAMA BUSSIE ISSA,DAFFIAMA NORTH,DAFFIAMA AREA COUNCIL
Upper West,DAFFIAMA BUSSIE ISSA,DAFFIAMA SOUTH,TEMP BOOTH SAPARI
Upper West,DAFFIAMA BUSSIE ISSA,TUORI,TEMP BOOTH TUORI
Upper West,DAFFIAMA BUSSIE ISSA,BUSSIE WEST,BUSSIE PRIMARY SCHOOL
Upper West,DAFFIAMA BUSSIE ISSA,BUSSIE EAST,TEMP BOOTH KUNKPENAYIRI
Upper West,DAFFIAMA BUSSIE ISSA,OWLO,OWLO PRIMARY SCHOOL
Upper West,DAFFIAMA BUSSIE ISSA,FIAN,R/C CHURCH FIAN
Upper West,DAFFIAMA BUSSIE ISSA,WOGU,WOGU R/C PRIMARY SCHOOL
Upper West,DAFFIAMA BUSSIE ISSA,ISSA,ISSA PRIMARY SCHOOL
Upper West,DAFFIAMA BUSSIE ISSA,TINGNE,ISSA AREA COUNCIL
Upper West,DAFFIAMA BUSSIE ISSA,TABIASI,TABIASI MOSQUE
Upper West,DAFFIAMA BUSSIE ISSA,CHALA,JINPENSI PRIMARY SCHOOL
Upper West,DAFFIAMA BUSSIE ISSA,KOJOKPERI NORTH,KOJOKPERI D/A PRIM. SCH.
